bill_id,act_number
69922,1156-20
69937,1086-20
70574,1063-20
70093,933-20
70337,1081-20
70341,979-20
70308,974-20
69949,908-20
69965,1556-20
70212,1077-20
69966,922-20
69967,932-20
69975,1664-20
70656,1262-20
70002,1006-20
70333,964-20
70003,1005-20
70378,965-20
69989,919-20
69999,978-20
69998,1052-20
70344,977-20
70007,2322-20
70085,976-20
70012,1044-20
70014,990-20
70025,2573-20
70187,1207-20
70041,1046-20
70043,2179-20
70668,1528-20
70646,1623-20
70062,1366-20
70599,1134-20
70063,969-20
70064,1045-20
70621,1440-20
70075,970-20
70530,1230-20
71876,1480-20
71161,1305-20
70082,935-20
70112,1525-20
70316,1248-20
70113,1603-20
70116,1064-20
70117,2805-20
70654,1184-20
71916,1496-20
72765,1898-20
71163,1306-20
71483,1354-20
70151,939-20
70491,1126-20
71357,1386-20
73733,2056-20
70528,1420-20
71001,1276-20
71002,1277-20
70179,1944-20
71342,1493-20
70193,2292-20
71031,1308-20
70195,1065-20
70199,937-20
71018,1168-20
70211,1714-20
71450,1411-20
70219,1349-20
70688,1137-20
70221,1192-20
70349,1338-20
71127,1244-20
70806,1339-20
73204,1878-20
70239,1887-20
71135,1337-20
70240,1687-20
70598,1243-20
70245,1047-20
70253,1034-20
70249,2391-20
70511,1431-20
71919,2202-20
70254,1104-20
70255,1105-20
70256,1106-20
70257,1107-20
70258,1108-20
70259,1109-20
70260,1110-20
70268,1998-20
70649,1138-20
70269,1999-20
70644,1139-20
70276,2215-20
71372,1460-20
70624,1325-20
70295,975-20
70298,1667-20
71143,1304-20
71454,1400-20
70405,966-20
70318,1075-20
70328,1432-20
70585,1218-20
70340,1004-20
70347,2428-20
71596,1732-20
70348,2429-20
70796,1735-20
71938,1466-20
71956,1467-20
70655,1189-20
70360,1022-20
70374,1001-20
70375,1002-20
70391,2722-20
73028,1890-20
70393,1368-20
70932,1209-20
70397,1978-20
70398,1268-20
71505,1503-20
70394,1040-20
72146,1877-20
70803,1220-20
70412,1591-20
71021,1278-20
71957,1678-20
70414,2888-20
73454,2528-20
70415,1587-20
71834,1471-20
70417,1007-20
70419,1008-20
70436,1712-20
71029,1768-20
70431,1041-20
70435,1427-20
71013,1267-20
70467,1382-20
71352,1351-20
70468,1383-20
71415,1352-20
70488,1686-20
70907,1297-20
70493,2971-20
71341,1494-20
73426,1947-20
70494,1261-20
72298,1950-20
70498,2813-20
70941,1949-20
70501,1166-20
70689,1125-20
70639,1710-20
71182,1392-20
70521,1042-20
70522,1043-20
71747,2059-20
70533,1071-20
70534,1072-20
70535,1073-20
70557,1017-20
